code_ISIN,nom_du_produit,emetteur_du_produit,date_emission,date_remboursement,mention_complexite,montant_minimum_investissement,niveau_garantie,niveau_barriere_desactivante,niveau_risque,produit_sous_jacent,nature_sous_jacent,code_ISIN_sous_jacent,frais_ponctuels_entree,frais_ponctuels_sortie_echeance,frais_ponctuels_sortie_anticipee,frais_recurrents,frais_accessoires,performance_tension,performance_maximale,espérance_maximale_rendement,date_actualisation,resume_mecanisme,resume_detaille_mecanisme,complexite_gpt
FR001400F9X1,Autocall Advanced Privalto,BNP Paribas Issuance B.V.,2023-01-26,2028-04-18,Oui,Non spécifié,0.0,60%,1,EURO STOXX® Banks Index,Indice,SX7E,0.13%,0.0,0.5%,0%,Non spécifié,-84.79%,1.18%,1.18%,2024-02-28,"• EMTN, titre de créance négociable, sans protection du capital à l'échéance.
• Indexé sur la performance de l'EURO STOXX® Banks Index.
• Versement d'un coupon conditionnel si le cours de clôture du sous-jacent est supérieur ou égal à la Barrière de coupon conditionnel.
• Remboursement anticipé automatique si le cours de clôture du sous-jacent est supérieur ou égal à 100% du Prix de référence initial.","Le produit Autocall Advanced Privalto est un titre de créance négociable émis par BNP Paribas Issuance B.V. Il est indexé sur la performance de l'EURO STOXX® Banks Index et ne bénéficie pas de protection du capital à l'échéance. Il offre la possibilité de versement d'un coupon conditionnel si le cours de clôture du sous-jacent est supérieur ou égal à la Barrière de coupon conditionnel. De plus, il prévoit un remboursement anticipé automatique si le cours de clôture du sous-jacent est supérieur ou égal à 100% du Prix de référence initial. Classé dans la classe de risque la plus basse (1 sur 7), ce produit présente un risque très faible de pertes potentielles. Cependant, il ne garantit pas de rendement minimal et comporte des frais d'entrée et de sortie. Sa complexité est considérée comme moyenne en raison de sa structure conditionnelle et de la dépendance à la performance d'un indice de marché.",moyenne
FR001400K8Q0,Autocall,BNP Paribas Issuance B.V.,2023-09-01,2033-11-14,Oui,,0.0,0.5,7,Bloomberg Selection France Fixed Basket Decrement 50 Points Index EUR,Indice,FRFIXPTE,6.2%,0.5%,0.5%,0%,Non,-100%,8.34%,8.34%,2024-02-28,"• Rendement basé sur la performance d'un indice sous-jacent.
• À l'échéance :
 1. Si le Prix de référence final est supérieur(e) ou égal(e) à 82% du Prix de référence initial: un montant équivalent à 185% de la Valeur nominale.
 2. Si le Prix de référence final est inférieur(e) à 82% du Prix de référence initial :
  a. Si aucun Franchissement de Barrière n'est survenu : un montant équivalent à la Valeur nominale.
  b. Si un Franchissement de Barrière est survenu : un montant équivalent à la Valeur nominale, diminué de la Performance du Sous-jacent. Vous subirez donc une perte partielle ou totale de la Valeur nominale.","Le produit Autocall est un titre de créance négociable émis par BNP Paribas Issuance B.V. avec une durée déterminée se terminant le 14 novembre 2033. Il est indexé sur la performance de l'indice Bloomberg Selection France Fixed Basket Decrement 50 Points Index EUR. À l'échéance, le remboursement dépend de la performance de l'indice par rapport à son prix initial, avec la possibilité de recevoir jusqu'à 185% de la valeur nominale si le prix de référence final est supérieur ou égal à 82% du prix de référence initial. En revanche, si le prix de référence final est inférieur à 82% du prix de référence initial, le remboursement peut varier en fonction de la survenance ou non d'un franchissement de barrière. Ce produit est classé 7 sur 7 en termes de risque, indiquant un niveau de risque très élevé. Sa complexité est considérée comme élevée en raison de sa structure conditionnelle et de son risque de perte partielle ou totale de la valeur nominale.",complexe
FR001400I350,Autocall,BNP Paribas Issuance B.V.,2023-06-12,2028-05-29,Oui,Non spécifié,0.0,50%,5,"Air Liquide SA, L'Oreal SA, LVMH Moet Hennessy Louis Vuitton SE",Actions,"AI FP, OR FP, MC FP",0%,0.5% du montant nominal,Non spécifié,0% de votre investissement par an,Non spécifié,"-84,54%","13,12%",Non spécifié,2024-02-28,"• EMTN, titre de créance négociable, sans protection du capital à l'échéance.
• Indexé sur la performance d'actions sous-jacentes.
• Versement éventuel d'un coupon conditionnel.
• Remboursement anticipé automatique si cours de clôture d'un sous-jacent >= 100% de son Prix de référence initial.","Le produit Autocall est un titre de créance négociable émis par BNP Paribas Issuance B.V. Il est indexé sur la performance d'actions sous-jacentes, notamment Air Liquide SA, L'Oreal SA et LVMH Moet Hennessy Louis Vuitton SE. À l'échéance, il n'offre pas de protection du capital contre le risque de marché. Le produit peut verser un coupon conditionnel en fonction de la performance des sous-jacents. De plus, il prévoit un remboursement anticipé automatique si le cours de clôture d'un sous-jacent atteint ou dépasse 100% de son Prix de référence initial. Classé avec un risque de 5 sur 7, ce produit présente un niveau de risque moyen. Sa complexité est moyenne en raison de sa structure conditionnelle et de son lien avec la performance d'actions sous-jacentes.",moyenne
XS2352280411,Omega 90 Green,BNP Paribas S.A.,2021-09-10,2026-09-10,Oui,1000 EUR,0.0,10%,2,Euronext Transatlantic ESG Leaders 60 EW Decrement 5%,Indice,ESGTL,50 EUR,0 EUR,50 EUR,0 EUR,0 EUR,-6.2%,8.41%,1.87%,2024-02-28,"• EMTN indexé sur la performance d'un indice sous-jacent.
• Versement d'un coupon conditionnel en fonction de la performance du sous-jacent.
• Remboursement à l'échéance dépendant de la performance du sous-jacent par rapport à son prix initial.","Le produit Omega 90 Green est un EMTN émis par BNP Paribas S.A., indexé sur la performance de l'indice Euronext Transatlantic ESG Leaders 60 EW Decrement 5%. Le remboursement à l'échéance dépend de la performance du sous-jacent par rapport à son prix initial, avec la possibilité de versement d'un coupon conditionnel en fonction de la performance du sous-jacent. Classé avec un risque de 2 sur 7, ce produit présente un niveau de risque faible. Sa complexité est considérée comme moyenne en raison de sa structure conditionnelle et de sa dépendance à la performance d'un indice de marché.",moyenne
FR001400IYK1,Autocall,BNP Paribas Issuance B.V.,2023-07-05,2033-08-30,Oui,1000 EUR,0.0,50%,5,S&P Euro 50 Equal Weight 50 Point Decrement Index (Series 2) (EUR) TR,Indice,SPEU5SDT,0.04%,0%,0.5%,0%,Non,-93.35%,9.81%,9.81%,2024-02-28,"• EMTN, titre de créance négociable, sans protection du capital à l'échéance.
• Indexé sur la performance de l'indice sous-jacent, avec versement éventuel d'un coupon conditionnel.
• Remboursement anticipé automatique si le cours de clôture du sous-jacent est supérieur ou égal à 100% du Prix de référence initial.","Le produit Autocall est un titre de créance négociable émis par BNP Paribas Issuance B.V. Il est indexé sur la performance de l'indice S&P Euro 50 Equal Weight 50 Point Decrement Index (Series 2) (EUR) TR. À l'échéance, il n'offre pas de protection du capital contre le risque de marché. Le produit pourra verser un coupon conditionnel si le cours de clôture du sous-jacent est supérieur ou égal à la Barrière de coupon conditionnel. Le remboursement anticipé automatique est possible si le cours de clôture du sous-jacent est supérieur ou égal à 100% du Prix de référence initial. Classé avec un risque de 5 sur 7, ce produit présente un risque moyen. Sa complexité est moyenne en raison de sa structure conditionnelle et de son lien avec la performance d'un indice de marché.",moyenne
FR001400DMN1,Autocall Advanced New,BNP Paribas Issuance B.V.,2023-01-16,2033-04-20,Oui,1000 EUR,0.0,50%,3,Bloomberg PAB Eurozone 50 Decrement 50 Point Index EUR,Indice,PABEZ5T,0.04%,0%,0.5% du montant nominal,0% de votre investissement par an,Aucune commission liée aux résultats n'existe pour ce produit,-92.9%,4.89%,4.89%,2024-02-28,"• Rendement basé sur la performance d'un indice sous-jacent.
• Remboursement à la Date de remboursement selon des conditions spécifiques basées sur la performance de l'indice.
• Possibilité de remboursement anticipé automatique à des dates spécifiques avec des taux de sortie croissants.","Le produit Autocall Advanced New est un titre de créance négociable émis par BNP Paribas Issuance B.V. Il est indexé sur la performance de l'indice Bloomberg PAB Eurozone 50 Decrement 50 Point Index EUR. Le remboursement à l'échéance dépend de la performance de l'indice, avec des conditions spécifiques basées sur le prix de référence final par rapport au prix de référence initial. Il offre également la possibilité de remboursement anticipé automatique à des dates spécifiques avec des taux de sortie croissants. Ce produit est classé 3 sur 7 sur l'indicateur de risque, indiquant un niveau de risque entre basse et moyenne.",moyenne
XS1288709972,Autocall Advanced New,BNP Paribas Issuance B.V.,2020-01-07,2030-01-16,Oui,,0.0,70,5,EURO STOXX® Select Dividend 30,Indice,,0.5%,0.5%,0.5%,0%,Non,-88.88%,26.3%,11.64%,2024-02-28,"• Rendement basé sur la performance de l'indice EURO STOXX® Select Dividend 30.
• À l'échéance :
 1. Sans franchissement de barrière : paiement en cash égal à 160% du montant nominal.
 2. Avec franchissement de barrière : paiement en cash égal au montant nominal diminué par la performance de l'indice sous-jacent, entraînant une perte partielle ou totale du montant nominal.
• Remboursement anticipé :
 Si le prix de clôture de l'indice est supérieur ou égal à la barrière d'autocall, le produit sera remboursé à la date d'autocall avec un paiement en cash égal au montant nominal plus une prime basée sur le taux de sortie correspondant.","Le produit Autocall Advanced New est une note émise par BNP Paribas Issuance B.V. avec une échéance en janvier 2030. Il vise à offrir un rendement basé sur la performance de l'indice EURO STOXX® Select Dividend 30. Le paiement à l'échéance dépend de la performance de l'indice : en cas de franchissement de la barrière, le paiement en cash est égal au montant nominal diminué par la performance de l'indice sous-jacent, entraînant une perte partielle ou totale du montant nominal. Il existe également une possibilité de remboursement anticipé si le prix de clôture de l'indice est supérieur ou égal à la barrière d'autocall, avec un paiement en cash égal au montant nominal plus une prime basée sur le taux de sortie correspondant. Ce produit est classé 5 sur 7 sur l'indicateur de risque, indiquant un niveau de risque moyen. Ce produit est considéré comme moyen en raison de sa structure conditionnelle et de la dépendance à la performance d'un indice de marché.",moyenne
FR001400FJO0,Autocall Advanced New,BNP Paribas Issuance B.V.,2023-04-26,2033-04-28,Oui,1000 EUR,0.0,60%,6,S&P Eurozone 30 Net Zero 2050 Paris-Aligned Transition Pathway Select 50 Point Decrement Index (EUR) TR,Indice,SPEPPDET,0.5%,0.5%,0.5%,0%,Aucune commission liée aux résultats n'existe pour ce produit.,-93.29%,15.06%,16.29%,2024-02-28,"• Rendement basé sur la performance d'un indice sous-jacent.
• À l'échéance :
 1. Si le Prix de référence final est supérieur(e) ou égal(e) à 80% du Prix de référence initial: un montant équivalent à 170,8% de la Valeur nominale.
 2. Si le Prix de référence final est inférieur(e) à 80% du Prix de référence initial :
  a. Si aucun Franchissement de Barrière n'est survenu : un montant équivalent à la Valeur nominale.
  b. Si un Franchissement de Barrière est survenu : un montant équivalent à la Valeur nominale, diminué de la Performance du Sous-jacent. Vous subirez donc une perte partielle ou totale de la Valeur nominale.
• Remboursement anticipé automatique :
 Si, à une Date d'évaluation de remboursement anticipé automatique, le cours de clôture du Sous-jacent est supérieur(e) ou égal(e) à 100% du Prix de référence initial, le produit sera remboursé à la date correspondante. Vous recevrez, par EMTN un montant équivalent à la Valeur nominale, plus une prime qui dépend du Taux de sortie applicable.","Le produit Autocall Advanced New est un titre de créance négociable émis par BNP Paribas Issuance B.V. avec une durée déterminée se terminant le 28 avril 2033. Il est indexé sur la performance de l'indice S&P Eurozone 30 Net Zero 2050 Paris-Aligned Transition Pathway Select 50 Point Decrement Index (EUR) TR. À l'échéance, le remboursement dépend de la performance du sous-jacent : si le Prix de référence final est supérieur ou égal à 80% du Prix de référence initial, le paiement sera de 170,8% de la Valeur nominale. Sinon, le paiement varie en fonction du franchissement de la barrière, pouvant entraîner une perte partielle ou totale de la Valeur nominale. Le produit offre également la possibilité d'un remboursement anticipé automatique si le cours de clôture du sous-jacent atteint ou dépasse 100% du Prix de référence initial à certaines dates, avec un paiement incluant une prime. Classé 6 sur 7 sur l'indicateur de risque, ce produit présente un risque élevé et ne garantit pas la protection du capital. Sa complexité est considérée comme élevée en raison de sa structure conditionnelle et de son risque élevé.",complexe
XS2354864741,Eagle Plus,BNP Paribas Issuance B.V.,2022-05-05,2032-04-13,Oui,1000 EUR,0.0,65%,5,EURO STOXX® Select Dividend 30,Indice,SD3E,0.03%,0.0%,0.50%,0.0%,Non,-86.9%,28.2%,1.39%,2024-02-28,"• Rendement basé sur la performance de l'indice sous-jacent EURO STOXX® Select Dividend 30.
• Remboursement à l'échéance :
 1. Si le Prix de référence final >= 85% du Prix de référence initial : remboursement de 183% de la Valeur nominale.
 2. Si le Prix de référence final < 85% du Prix de référence initial :
  a. Sans Franchissement de Barrière : remboursement de la Valeur nominale.
  b. Avec Franchissement de Barrière : perte partielle ou totale de la Valeur nominale.
• Remboursement anticipé automatique :
 Si le cours de clôture du Sous-jousant >= 100% du Prix de référence initial à une Date d'évaluation, remboursement à la date correspondante avec prime dépendant du Taux de sortie.","Le produit Eagle Plus est un certificat émis par BNP Paribas, indexé sur la performance de l'indice EURO STOXX® Select Dividend 30. Le remboursement à l'échéance dépend de la performance de l'indice, avec la possibilité d'un remboursement anticipé automatique si le cours de clôture du Sous-jacent atteint ou dépasse 100% du Prix de référence initial à certaines dates. Le produit est classé 5 sur 7 en termes de risque, indiquant un niveau de risque moyen à élevé. Il ne prévoit pas de protection contre les aléas de marché, ce qui signifie que l'investisseur pourrait subir une perte partielle ou totale de son investissement. La complexité de ce produit est moyenne en raison de sa dépendance à la performance de l'indice sous-jacent et de la possibilité de remboursement anticipé automatique.",moyenne
XS2469649045,Athena Privilege Action Airbus Février 2028,BNP Paribas Issuance B.V.,2023-04-18,2028-02-21,Oui,Non spécifié,0.0,60%,1,Airbus SE,Action,NL0000235190,0.03%,0.5% du montant nominal,Non spécifié,0%,Non spécifié,-98.76%,1.31%,Non spécifié,2024-02-28,"• Rendement basé sur la performance d'une action sous-jacente.
• À l'échéance :
 1. Sans franchissement de barrière : remboursement de 143,2% de la Valeur nominale.
 2. Avec franchissement de barrière : remboursement de la Valeur nominale, diminué de la Performance du Sous-jacent.
• Remboursement anticipé automatique :
 Si le cours de clôture du Sous-jousant est supérieur ou égal à 100% du Prix de référence initial, remboursement à la date correspondante.","Le produit structuré Athena Privilege Action Airbus Février 2028 est un certificat émis par BNP Paribas Issuance B.V. Il est conçu pour offrir un rendement basé sur la performance de l'action Airbus SE. À l'échéance, le remboursement dépend de la performance de l'action par rapport à un seuil prédéfini. En cas de franchissement de la barrière, le remboursement peut entraîner une perte partielle ou totale de la Valeur nominale. De plus, le produit prévoit un mécanisme de remboursement anticipé automatique si le cours de clôture de l'action atteint un certain niveau. Ce produit est classé dans la classe de risque la plus basse (1 sur 7), indiquant un niveau de risque très faible. Cependant, il ne garantit pas la protection du capital en cas de baisse significative de l'action sous-jacente. La complexité de ce produit est considérée comme très simple en raison de sa structure de remboursement conditionnelle et de son indicateur de risque très faible.",très simple
